,Actress_Name,actress_link,Available_photos,Available_videos,Rank,Profile_views,Video_views,Subscribers,Country,Age,Eye,Hair,Height,Weight,Cup,Measurements,Alias,Official_website,Twitter,Instagram,Bio
374,Ivana Sugar,https://www.eporner.com/pornstar/ivana-sugar/,962,151,377,565268,7808691,14,Ukraine,30,Blue,Blonde,"163 cm / 5'4""",55 kg / 121 lbs,B,32B-23-32,"Betty YLP,Camille A Met Art,Eve A X Art,Ivana,Ivana Fuckedhard18,Ivana Sapphic,Ivana Wetandpuffy,Ivanna Sugar,Lillian Brayn,Rita Karups,Sugar,Vania Nubiles",,https://twitter.com/IvanaSugar,https://instagram.com/ivana_sugar92,"After entering into the adult film industry when she was 18, Ivana Sugar has entertained men all across the globe. So far, Ivana has been in 350 adult films and plans to make many more. And the internet needs her to keep performing. She cannot let her blonde hair, blue eyes, B cup breasts and 32B-23-32 body go to waste. She is 5ft 5in tall, but she only weighs 121lbs, which means that her body is slim and her tits are soft. Ivana was born in Ukraine and her birthday is February 26, 1992. She received 7 nominations and won 2 awards, both by the Galaxy Awards."
375,Taissia Shanti,https://www.eporner.com/pornstar/taissia-shanti/,27,160,378,360557,11647280,23,Russia,29,Green,Brunette,"170 cm / 5'7""",52 kg / 115 lbs,35A,35A-25-36,Eva Shanti,,,,"Taissia Shanti was a Russian pornographic actress and erotic model. Her real name is Yanika Akulova. She grew up in a small village near Black Sea. While camping on a local nudist beach at the age of 20, she discovered that she liked to be naked in public. From that moment she realized that she would like to be a porn actress. In her career, she has worked with sites like Sapphic Erotica, Fame Digital, Nubiles and many more."
376,Shae Summers,https://www.eporner.com/pornstar/shae-summers/,1219,77,379,617191,6076411,79,USA,28,Brown,Brown,"157 cm / 5'2""",45 kg / 99 lbs,DDD,32DDD-24-34,,,,,"For some reason, the world is obsessed with Virgin; however, it is the experienced men and women that actually know what to do in the bedroom. With over 110 adult films underneath her belt, Shae Summers knows what to do in front of the camera and loves what she does. She was born on November 24th, 1994. Her parents are both Caucasian and Asian, so that makes her a mixed-race woman. She has short brown hair, which she sometimes dyes blond. She also has brown eyes, which no one really looks at because she carries around a drool-worthy pair of DDD breasts. Her body is amazing as her measurements are 32DDD-24-34. Armed with an amazing rack and an equally amazing ass, it is no wonder why she is one of the more popular ladies in the porn industry. Her weight does not even break 100lbs, so she is a skinny mini with a major pair of tits."
377,Alice Green,https://www.eporner.com/pornstar/alice-green/,78,98,380,624309,7923087,36,USA,26,Brown,Red,"160 cm / 5'3""",48 kg / 106 lbs,A,36A-24-32,Alecia,,,,"There are all kinds of girls in this wonderful world, and we love all of them. If you’re the type of man who loves skinny mini women bouncing up and down on big hard cocks, then Alice Green is the girl for you. She’s 5 ft 3 in and only 106 lb. Her bra size is an A cup, and her measurements are 36A-24-32. One of your more amazing features is that she is a natural redhead with big brown eyes, and that’s not a color combination that’s found very often. Alice was born on April 29th, 1996, in a small town in Idaho and started working in the adult film industry when she turned 18, which was in 2014. The first three years after she debuted, she appeared in many teen-centered films. Now she is currently involved in interracial films, doing anal, and performing lesbian MILF porn with older women."
378,Alex Black,https://www.eporner.com/pornstar/alex-black/,20,630,381,575440,9128803,51,Czech Republic,35,Grey,Black,"162 cm / 5'4""", 57 kg / 126 lbs,34DDD,34F-27-38,,,,,
379,Lulu Chu,https://www.eporner.com/pornstar/lulu-chu/,228,87,382,727413,7361775,220,"Wuhan, China",22,Brown,Blonde,"147 cm / 4'10""", 41 kg / 90 lbs,32B,32-24-34,,,https://twitter.com/luluchu8,,
380,Madison Chandler,https://www.eporner.com/pornstar/madison-chandler/,10,59,383,288812,12146035,27,United States,30,Blue,Blonde,"157 cm / 5'2""",45 kg / 100 lbs,C,34C-24-36,Madison FTV,,,,"If her watery baby blue eyes don't make you fall to your knees and beg to see her naked then you truly have no heart and no libido. The moment you see Madison Chandler taking her clothes off, it will be a site that you never forget. Madison is a natural blonde who stands at 5 ft 2 in and she's about 100lbs. She was born on November 5th, 1992 in Wilson North Carolina. She has bouncy C cup breasts and any man should feel like it is both a blessing and a privilege to be anywhere near them. Even though she is a small girl, she is still quite curvy and her measurements are 34C-24-36. Madison started doing porn about three years after she finished high school, which was in 2010. Because of her youthful looks, she has performed in many teen centered films like Barely Legal 135 and Teenage Rampage 9."
381,Rae Lil Black,https://www.eporner.com/pornstar/rae-lil-black-7FCPl/,6,40,384,645482,8424028,160,Japan,26,Brown,Black,"142 cm / 4'8""", 45 kg / 99 lbs,32D,32-24-34,,,https://twitter.com/Raelilblack,https://www.instagram.com/raelilblack,
382,Lola Taylor,https://www.eporner.com/pornstar/lola-taylor/,35,109,385,523004,9552858,17,Russia,30,Green,Blonde,"160 cm / 5'3""",48 kg / 106 lbs,A,34A-25-36,"Baby L DDF,Lola Petrova,Lolita Taylor,Luba B",,,,"If someone were to offer us a one-way ticket to Russia, we would take it no questions asked just so we could meet the beautiful Lola Taylor in person. Born on December 11, 1992, in Moscow, Russia, her amazing A cup breasts could make a blind man see. Her measurements are 34A-25-36 and she only weighs 106lbs. Her blonde hair, green eyes, and tiny 5ft 3in body can bend and move in wild ways that will exhaust your cock. She started working in the adult film industry in 2014 and has been in 30 films. By 2019, her net worth had reached over 1.5 million dollars, which is an amazing amount! She has both tattoos and piercings and enjoys dying her hair different colors from time to time. Besides working as an adult film star, she also enjoys working as an erotic dancer and books clients on her website."
383,Kendra Spade,https://www.eporner.com/pornstar/kendra-spade-jdVbY/,90,100,386,734628,7381341,133,USA,23,Brown,Black,"162 cm / 5'4""", 55 kg / 121 lbs,32B,32-26-37,,,https://twitter.com/KendraSpade,https://instagram.com/kespade,
384,Tasha Reign,https://www.eporner.com/pornstar/tasha-reign/,110,93,387,468825,10266061,14,United States,34,Blue,Blonde,"165 cm / 5'5""",50 kg / 110 lbs,D,34D-24-34,"Becky,Kinsey Joe,Rachel Lorraine,Rachel Swimmer,Tasha,Tasha R Joymii",,https://twitter.com/TashaReign,https://instagram.com/tashareignslife,"Born on January 15th, 1989, Tasha Reid is a very beautiful woman that any man would give their right arm to see naked. She is 5ft 5in and 110 lb. She's a natural blond with a mesmerizing pair of blue eyes. As if she couldn't get any better, Tasha also has a D cup breasts and her measurements are 34D-24-34. Tasha Reign is quite happy to perform for us in front of the camera, but she also enjoys her work behind the camera as well. After she completed high school, Tasha enrolled in college and then moved onto UCLA. While she was at UCLA, she worked as a stripper and then as an adult film star. She was even awarded Penthouse’s pet of the month for February while she was still at UCLA. After she finished college, she then became a full-time adult film star and even went on to write her own sex column."
385,Freya Parker,https://www.eporner.com/pornstar/freya-parker/,950,57,388,125563,1545941,45,"Fort Collins, Colorado, USA",22,,Brown,"177 cm / 5'10""", 59 kg / 130 lbs,,34-25-35,,,,,
386,Black Angelica,https://www.eporner.com/pornstar/black-angelica/,129,351,389,448202,8796575,27,Romania,35,Black,Brown,"170 cm / 5'7""",55 kg / 121 lbs,C,32C-26-35,"Amelie Loren,Angelica,Angelica Black,Angelica Karups,Angelica Nubiles,Angelica Sapphic,Angelika,Angelika A,Angelika Black,Black Angelika,Blacky,Elena Alexandra,Kelsey Passion,Nicky,Rima A MetArt",,,,
387,Halle Von,https://www.eporner.com/pornstar/halle-von/,43,1521,390,667803,7956743,26,USA,28,Hazel,Blonde,"160 cm / 5'3""",48 kg / 105 lbs,A,32A-22-24,,http://hallevon.newpornstarblogs.com/,,,"Even though she is now far away from her hometown of Nashville Tennessee, the spirit of the cowgirl lives on in Halle Von. Born on April 7th, 1994, she attended college for a number of years before having a baby and becoming a cam girl. As a cam girl, she was very popular. Her blond hair, hazel eyes, and A-cup breasts drew in many men who wanted to see her naked. She weighs around 105lbs and her measurements are 32A-22-24. Halle is a petite girl whose height barely reaches 5ft 3in. She moved to Los Angeles in 2014, because she wanted to work in the adult film industry. Because she was such a popular cam girl, adult film studio executives offered her jobs and parts in their films and she took them."
388,Zoey Monroe,https://www.eporner.com/pornstar/zoey-monroe/,143,239,391,656938,8388693,29,USA,30,Blue,Blonde,"160 cm / 5'3""",57 kg / 125 lbs,A,34A-32-34,"Alexys,Claire Allure",,https://twitter.com/ZoeysSweetTea,,"If Zoey Monroe can’t get you hard as a rock in a few minutes, then you are probably dying. We’ve never seen such a bouncy happy woman who enjoys taking her clothes off as much as Zoey Monroe likes to. Born on June 11th, 1992 in the city of Detroit, she started stripping when she was 18 and then moved onto camming. It was only when she met the great Lexi Belle did she finally decide to do porn. Zoey’s body measures at 34A-32-34 and she weighs around 125lbs. She is a natural blonde and she even has blue eyes. With a great pair of A cup breasts, it is no wonder why Zoey loves to take her clothes off. When she performs, we wish we could be the male actor in the scene! She has been nominated for over 40 awards and she won the AVN award’s Best Tranny Sex Scene in 2013."
389,Bree Daniels,https://www.eporner.com/pornstar/bree-daniels/,242,66,392,528266,6518886,39,USA,31,Green,Brown,"170 cm / 5'7""",51 kg / 112 lbs,C,34C-24-35,"Brea,Brea Daniels,Brea FTV,Brea of Zeng,Bree,Bree DDF,Bree Victoria,Bree Victorie,Bree X Art",,,,"You may think that Montana is only home to cattle ranches and old man ranchers who enjoy complaining about the government, but it is also the home of Bree Daniels, so there may be more reasons to appreciate the area. With sultry green eyes and medium brown hair that she sometimes dyes strawberry blonde, this girl’s 34C-24-35 body and full C cup breasts need to be worshipped day and night. Montana likes to grow them tall and strong, so Bree is 5 ft 7 in and 112lbs. She was born to a Caucasian family on November 18th, 1991, in the city of Billings. She started doing porn in 2010 and has starred in 170+ movies. The category she performs in the most is lesbian films and stepmother/daughter films. She was the Penthouse Pet of the Month in March 2015 and the Twistys Treat Of The Month July 2010."
390,Welli Angel,https://www.eporner.com/pornstar/welli-angel/,157,180,393,376660,9710974,9,Czech Republic,31,Blue,Blonde,"163 cm / 5'4""",55 kg / 121 lbs,D,34D-25-36,"Angel Wicky,Audrey Argento,Valerie Karups,Welli,Welli DDF,Welly Wetandpuffy",,,,"Skinny girls are always a blast to party with. But sometimes, in order to satisfy our urges in a deep and primal way, we’re going to need the help of a big busty girl. Welli Angel can be that big busty girl you need to send your cavemen senses Into the wild. The first thing you notice when you look at Welli Angel is her massive DD breasts. It’s like they were grown just for men, and some women, to bury their face into and forget about the worries of the world. She is 5 ft 4 in and over 120 lb, and her measurements are 34D-25-36. If you cannot find enough films of her with a Google search, you may want to try looking up her alias, which is Angel Wicky. She is a natural blond with blue eyes. She was born in the Czech Republic on April 8th, 1991."
391,Kylie Quinn,https://www.eporner.com/pornstar/kylie-quinn/,71,1327,394,869296,5642855,133,USA,24,Hazel,Brown,"162 cm / 5'4""", 50 kg / 110 lbs,34B,34-24-36,,,https://twitter.com/kyliexquinn,https://instagram.com/kyliexquinn,
392,Ava Devine,https://www.eporner.com/pornstar/ava-devine/,52,148,395,687886,7588939,70,United States,48,Brown,Brunette,"163 cm / 5'4""",61 kg / 134 lbs,DD,36DD-25-36,"Ava Divine,Karen Little",https://onlyfans.com/AvaDevine,,,"Ava Devine (born January 22, 1974) is an American pornographic actress known primarily for her surgically enlarged breasts, ""dirty talk"" and a willingness to perform a variety of sex acts during sex scenes. Some of her more extreme porn videos include urination and bukkake oriented films. She grew up in Long Island, New York as a self-described ""pretty normal kid."" At age 18 she began working as a call girl. During this time she learned a great deal about sex (including the male anatomy, the intricacies of her own, fetishes, points of view, techniques, and turn ons that many different people had) so that ""by the time I got into porn nothing was new or taboo or scary."" She entered the porn business at age 28; as she put it, ""They weren't even doing half the things I did as an escort. I was like, what? I'm only getting half of what they."" She has been called the ""lady of the lake"" of porn, in that she embodies the myth of the promiscuous woman willing to have sex with anyone at any time. In 2005, Ava had what she called ""malpractice surgery"" (surgery gone bad) which put a hold on her film career. In October 2005, she underwent breast reduction surgery and had a lift, reducing her bust to 36DD. She resumed working in January 2006 with plans to continue."
393,Cindy Hope,https://www.eporner.com/pornstar/cindy-hope/,48,699,396,420626,10063192,10,Hungary,37,Brown,Brown,"165 cm / 5'5""",52 kg / 114 lbs,B,32B-23-34,"Cindy B Met Art,Cindy H,Cindy Hose,Cindy Hove,Cindy Nubiles,Claudia,Claudia Karups,Hope,Klaudia ALS,Klaudia ATK,Klaudia DDF,Klaudia Sapphic,Sindy",,,,"Wow this is one cute tart! Klaudia is out to have fun, she peeks her privates to us giggling the whole time! See her spreading and playing with her fingers in her videos!"
394,Jane Wilde,https://www.eporner.com/pornstar/jane-wilde/,41,295,397,559451,9027534,153,USA,24,,Blonde,"153 cm / 5'0""",45 kg / 99 lbs,,32B-22-34,Mary Jane Wilde,,,,
395,Alex Blake,https://www.eporner.com/pornstar/alex-blake/,48,1545,398,820837,6449200,61,USA,24,Hazel,Blonde,"170 cm / 5'7""", 59 kg / 130 lbs,36C,36-24-36,,,https://twitter.com/AlexBlake420,https://instagram.com/alexblake420,
396,Vanna Bardot,https://www.eporner.com/pornstar/vanna-bardot/,290,143,399,699777,7365993,140,United Kingdom,22,Hazel,Brown,"160 cm / 5'3""", 45 kg / 99 lbs,32B,32-24-33,,https://profiles.myfreecams.com/vannabardot,https://twitter.com/vannabardot,https://instagram.com/vannabardot,
397,Sandra Luberc,https://www.eporner.com/pornstar/sandra-luberc/,8,147,400,479929,9936184,16,Russia,30,Green,Black,"157 cm / 5'2""",45 kg / 99 lbs,A,32A-25-32,"Kameya,Sandra,Sandra C,Sandra Cubezc,Sandra Luberec",,,,"Don’t be fooled by Sandra Luberc’s gentle looks and demeanor, this is one woman that will get you on your knees and make you beg for mercy. She may be small, as her height is only 5ft 2in and only weighs 99lbs, but you won’t be able to say no when she has you chained. Sandra’s eyes are a mesmerizing green color and her hair is jet black. Shaped like a petite Caucasian woman, her breasts are A cups and her entire body is 32A-25-32. Born in wintertime in Russia, her skin is milky white and luminous. Her birthday is October 19, 1992, and she started working in the adult film industry in 2013 when she was 21 years old. Some of the most popular titles she has performed in are: Monsters of Cocks 47, Blacks On Blondes: Sandra Luberc, I Was Tight Yesterday 12, and My Sister is Wet and Horny."
398,Monica Santhiago,https://www.eporner.com/pornstar/monica-santhiago/,4,70,401,547918,8961490,159,Brazil,47,Hazel,Black,"160 cm / 5'3""",60 kg / 132 lbs,B,33B-25-39,Monica Santiago,,,,
399,Alex Tanner,https://www.eporner.com/pornstar/alex-tanner/,90,275,402,631226,6906391,59,USA,27,Green,Red,"157 cm / 5'2""",50 kg / 110 lbs,A,34A-22-32,,,https://twitter.com/AlexTannerXXX,https://instagram.com/princessalexmft,"The very sight of a young strawberry blond woman like Alex Tanner sends us all the way back into our memories of life right after high school, which was filled with warm summer times, and sweaty summer nights. Covered with freckles and beaming with a Summer Smile, Alex Turner is not at all that you want to pass on. She was born on December 21st, 1995, and she is a natural redhead with green eyes. Her body is natural, she has no tattoos, and her A-cup breasts are unaltered too. While her measurements are 34A-22-32, she’s only 110lbs. She was born in Florida and decided to migrate to another sunny city, which was Los Angeles. She has been working in the adult film industry since 2014. Some of the films she has appeared in are: Horny Ginger Alex Tanner Hot For Cock, Sexy Redhead Alex Tanner Shows The Pink, and Redhead Teen Gets Sex Lessons from Step Mom."
400,Malena Morgan,https://www.eporner.com/pornstar/malena-morgan/,553,37,403,358653,3035605,35,United States,31,Blue,Brown,"173 cm / 5'8""",52 kg / 114 lbs,B,34B-25-34,"Casey,Malena,Malena FTV,Malena Twistys,Malena X Art,Mialena Morgan",,https://twitter.com/malmorganxxx,https://instagram.com/malenamorgan,"No one can deny that Malena Morgan is one of the most beautiful people that they have ever seen. Her highlighted brown hair and blue eyes really give her a natural look, and yet, when she is in a stoplight, she almost looks ethereal. She is 114 lb and 5 feet 8 inches tall. With B cups breasts and a 34B-25-34 body, it is obvious that you like to keep yourself fit and trim. Well, with the movies we’ve seen her perform in, she gets all the exercise she needs in the bedroom! Her birthday is July 23rd, 1991, and she was born in Florida to a mixed-race family. She is of both Cherokee and Caucasian ancestry. Malena was once both a Twistys Treat and Penthouse Pet of the month for November 2011. Not only that, but she was also VIP Delight Of The Month December 2013. The other name she performs under is Carly Morrison."
401,Eva Karera,https://www.eporner.com/pornstar/eva-karera-d4WDq/,27,188,404,574528,8435155,38,Belgium,43,Hazel,Brunette,"170 cm / 5'7""",54 kg / 119 lbs,D,34D-24-34,"Eva Carera,Eva Carrera,Eva Karerra,Eva Karrera",,,,"Who says adult actresses can't travel the world? It may be great for their performances if they ever have to play a traveler on an airplane who then gets bent over by both of the pilots and made to suck their cocks. One woman who has traveled the world in her life and is now a popular adult actress is Eva Karera. She was born in Belgium on May 5th, 1979, and spent five years of her life in Turkey and one year in Egypt. While she was traveling, she also spent some time working as a scuba instructor. Man, what we would have given to spend an hour or two with her when she wore a tiny little bikini in the ocean. She is 5ft 9in and is a natural brunette with big hazel eyes, and she weighs about 119 lb. She has DDD cup size breasts, and her body measurements are 34D-24-34."
402,Aria Alexander,https://www.eporner.com/pornstar/aria-alexander-Eb5l6/,125,80,405,784446,6333774,76,USA,27,Green,Black,"165 cm / 5'5""",51 kg / 112 lbs,A,34A-26-33,Sasha Nexx,http://ariaalexander.com/,,,"Aria Alexander may be a major porn star, but the first thing you’ll notice when you see her is her amazing almond eyes. Her eyes are absolutely gorgeous, and they are enhanced by their green color. Women around the world have tried to get the perfect almond shape, but Aria was just born that way, and she really knows how to work it. Her breasts are A cups, and her body is immaculate and well-toned, with her measurements as 34A-26-33. She is only 112 lb and 5 feet 5 inches. Her hair is a pure black color, which really stands out against her soft white complexion. As of 2020, Aria is only 25 years old as her birthday is March 25th, 1995. She was raised in Texas and earned money in college by working as a fetish model. She got her first job in the adult film industry at 19 years old and performed 142 films."
403,Teanna Trump,https://www.eporner.com/pornstar/teanna-trump/,66,245,406,623945,7493436,86,USA,27,Brown,Brown,"168 cm / 5'6""",61 kg / 134 lbs,B,34B-24-34,"Teanna Smiles,Teanna Sweet,Teanna West",,https://twitter.com/TeannaTrump,https://instagram.com/itsteannatrump,"Teanna Trump is an adult film actress who has been extremely active in her industry since 2014 and she is currently active today. She joined almost immediately when she graduated from high school. She became an actress at 19 and has been a part of over 122 adult films. Since Teana is black, she mostly performs in the black or ebony category and the black female category. She has mid-length brown hair and brown eyes and her height is 5 feet 6 inches. She is a wonderful figure and her measurements are 34B-24-34. While adult actresses are not supposed to act like good girls while in front of the camera, Tiana took it too far and started acting like a bad girl away from the camera! She was arrested in 2015 for possession of marijuana. She had to spend six months in jail and was released in December of 2016."
404,Alice March,https://www.eporner.com/pornstar/alice-march/,76,195,407,613612,7121568,47,USA,28,Blue,Brown,"155 cm / 5'1""",43 kg / 95 lbs,A,34A-26-34,"Alice,Alice Fuckedhard18,Alice X Art",,https://twitter.com/alicemarchxx,https://instagram.com/thealicemarchxx,"Born on February 13th, 1994, Alice March is a breath of fresh air in a world of women who lair makeup on their face as if it were a sheet of cake. Alice is a very skinny girl as her weight only reaches 95 lb, and her height is 5 ft 1in. She has long brown hair and flashy blue eyes. Because of how thin she is, she is an A cup, and her measurements are 34A-26-34. She was born in San Diego, California, and she still resides there today since it is so beautiful and sunny nearly all year round. Alice started working in the adult film industry in 2012, and she has racked up a hefty number of films - over 150! She stopped working in 2018, and it is unsure whether she will come back to the industry or not. However, her fans can still contact her through her Instagram page."
405,Nina Hartley,https://www.eporner.com/pornstar/nina-hartley/,56,90,408,743455,6780272,86,United States,63,Blue,Blonde,"163 cm / 5'4""",64 kg / 141 lbs,D,36D-24-38,"Nina Hardley,Nina Harley,Nina Hartly,Nina Hartman,Nina Hartwell",,,,"Nina Hartley (born Marie Louise Hartman on March 11, 1959 in Berkeley, California) is an American pornographic actress, pornographic film director and sex educator. Hartley was born to a socialist Jewish family and grew up in the San Francisco Bay Area. She is the youngest of four children. She has an older sister and two older brothers. Her parents converted to Buddhism when she was young. She attended San Francisco State University's undergraduate nursing school and graduated magna cum laude in 1985. She is a registered nurse. In 1982, during her sophomore year of nursing school, she started working as a stripper at Mitchell Brothers O'Farrell Theater. She made her foray into the world of pornographic movies during her junior year, in 1984. Her debut performance was in the film Educating Nina, which was produced by the veteran porn star Juliet Anderson (better known as Aunt Peg), and this proved to be a massive hit. Since then she has gone on to feature in over 400 first-run adult films, and has become one of the most enduring and recognizable performers in the industry. She said in an interview that she chose the name ""Nina"" because it was easy for Japanese tourists to say during the time she was a dancer in San Francisco. She chose ""Hartley"" because she liked the popular camera commercials Mariette Hartley was making with James Garner at the time. Politically, Hartley is a socialist and outspoken sex-positive feminist. Hartley has been an advocate for the adult film industry's right to exist, and, before the rise to stardom of Jenna Jameson, had often been called on when television news programs and talk shows required an articulate, leading adult film actress to support the pro side. She appeared most notably on The Oprah Winfrey Show with fellow porn actress Ona Zee. The two came under hard scrutiny from the mostly female audience, but refused to back down and were outspoken in their support of the industry. She and Ona Zee also spoke out strongly against illegal drugs in the industry. She was interviewed for Wendy McElroy's 1995 book XXX: A Woman's Right to Pornography. She relates how she was arrested in 1993 in Las Vegas, along with 10 other adult stars, for having performed a lesbian show at an adult video industry fundraiser; an undercover police officer was present in the audience. Threatened with six to 12 years in prison for felony lesbianism and pandering, she was eventually allowed to plead guilty to a misdemeanor. Hartley crossed over into mainstream Hollywood with an appearance in the 1997 film Boogie Nights, in which she played William H. Macy's serially unfaithful wife. She also appeared in the 1996 Canadian film Bubbles Galore. Hartley is openly bisexual in her private life, and had what has been described as the longest stable relationship in the adult business, living in a menage a trois with her husband Dave (whom she met when she was 19), and ""wife"" Bobby Lilly for 20 years. Hartley has since left that relationship, saying ""I was too immature and he was too possessive. It didn't work... It ended up ending because it was the wrong three people involved."" She has since married Ira Levine (aka Ernest Greene), a director of porn films, particularly BDSM films."
406,Angel Smalls,https://www.eporner.com/pornstar/angel-smalls/,87,100,409,545385,8865621,65,USA,29,Brown,Blonde,"152 cm / 5'0""", 39 kg / 86 lbs,34A,34A-24-34,,,https://twitter.com/AngelSmallsxxx,,
407,Siri Dahl,https://www.eporner.com/pornstar/siri-dahl/,1,103,410,534896,9013950,150,,-,,,,,,,,,,,
408,Naomi Woods,https://www.eporner.com/pornstar/naomi-woods-NmykL/,68,111,411,656331,7129935,79,USA,26,Blue,Blonde,"165 cm / 5'5""", 45 kg / 99 lbs,32B,32B-24-34,,,https://twitter.com/lissapolooza,https://instagram.com/lissapolooza,
409,Kiara Mia,https://www.eporner.com/pornstar/kiara-mia/,96,91,412,651661,5968972,83,United States,45,Brown,Brown,"163 cm / 5'4""",59 kg / 130 lbs,DD,34DD-26-36,Kiara Marie,,https://twitter.com/mysexykiaramia,https://instagram.com/theonlykiaramia,"Born with both Latina and Native American ancestry, Kiara Mia has the golden-brown skin, hair, and eyes of a wild and authentic woman. Whenever she takes off her clothes and shows off her 34DD-26-36 and massive DD cup breasts, it makes us want to shove our hands into the screen and into the video. Kiara is stacked and thick, as her weight is 130lbs and her height is 5 ft 4 in. So if you lick your women to be on the bigger side, there’s plenty of her for you to handle. Kiara is a Los Angeles native who was born on January 24th, 1977. We do not know for sure, but we assume she had a normal life before entering the porn industry, which she did when she was 34 years old in 2011. Kiara does her best work in the MIF categories. She was nominated for MILF / Cougar Performer of the year, which was created by AVN."
410,Lexi Dona,https://www.eporner.com/pornstar/lexi-dona/,39,99,413,274515,11581148,21,Czech Republic,30,Brown,Black,"157 cm / 5'2""", 45 kg / 99 lbs,32B,32B-24-35,,https://lexidona.com/,https://twitter.com/lexi_dona,https://instagram.com/lexidona,"We never want to see a day when Lexi Dona decides to put back on her clothes and retires from the adult film industry. Her body is just too sexy, and her breasts are just too lickable for that to happen. Born in the Czech Republic, Lexi Is 5ft 3in and less than 100pounds. She entered the industry when she was 22 years old and has had tons of fun playing with all the other stars and coworkers. Whenever she takes a lover, she likes his cock to be big and thick. Sometimes she’ll even place it between her B cup breasts. Her birthday is September 23rd, 1992, and she started making nude films in 2014. She has black hair and brown eyes, and a tight pink pussy. While she operates under many different aliases, her real name is Simona Opavova. Lexi does her best work when filming lesbian porn and MILF porn."
411,Khloe Kapri,https://www.eporner.com/pornstar/khloe-kapri/,8,152,414,559963,8669883,80,USA,25,Blue,Blonde,"160 cm / 5'3""", 49 kg / 108 lbs,32B,32-24-36,,,,,
412,Gabriela Lopez,https://www.eporner.com/pornstar/gabriela-lopez/,18,70,415,436368,9758068,104,USA,24,Brown,Black,"152 cm / 5'0""", 50 kg / 110 lbs,34D,34D-25-36,,,,,
413,Sabina Moore,https://www.eporner.com/pornstar/sabina-moore/,5,94,416,335646,10823569,9,Russia,38,Grey,Auburn,"168 cm / 5'6""",51 kg / 112 lbs,B,36B-24-36,"Lera ATK,Nika,Sabrina Moor,Sabrina Moore",,,,"With her natural B cup breasts and her stacked body which measures at 36B-24-36, Sabina is a hot woman who knows how to keep herself in shape. Her birthday is on February 2, 1984, and she was born in the Soviet Union before it became Russia. Her height is 5ft 6in and she only weighs 112lbs. She has auburn hair, which she does not like to put up in a ponytail, and grey eyes. She started her career as a porn actress after spending some time as a model. Sabina also performs under several names like Linda, Lera, Anna, and Yuliya. One of the most famous roles she performed in was College Fuck Parties. When she is not performing, she likes to wind down and whip up a meal in the kitchen. Some of the films she is in are Loving Teenagers With Sodomy 4, Young Russian Backdoor Lovers 2, and Real Deep for a Beautiful Real Estate Agent."
414,Dana Vespoli,https://www.eporner.com/pornstar/dana-vespoli/,116,143,417,600134,7359982,51,USA,50,Hazel,Brunette,"170 cm / 5'7""",52 kg / 114 lbs,A,34A-24-36,"Dana,Diana Vespoli",,https://twitter.com/danavespoli,https://instagram.com/realdanavespoli,"Sometimes simple natural beauty is the best type of beauty of all and Dana Vespoli really embodies this outlook. She has simple and soft features because of her Asian heritage. She's about 5 feet 7 in and only 114 lbs. Despite nearing her fourth decade of life, she is still as beautiful as ever and can easily be mistaken for a 28-year-old. Because of her tan skin, she can wear a lot of different colors of makeup and it will not crash. She has small A cup breasts and her measurements are 34A-24-36. She started working in the adult film industry when she was 31, which was in 2003. Prior to that, she spent a good number of years in her pre-porn life as a stripper and made a good amount of money doing so. Dana has straight brown hair and small hazel eyes. She is one of the top 40 Asian pornstars in the industry."
415,Silvie Deluxe,https://www.eporner.com/pornstar/silvie-deluxe-r4CvB/,437,36,418,431459,8756727,15,Czech Republic,34,Green,Brown,"175 cm / 5'9""",52 kg / 114 lbs,B,34C-25-35,"Bozena,Elance A Met Art,Silvie,Silvie de Lux,Silvie Delux,Silvie LSG,Silvie Mc-nudes,Silvie Wetandpuffy,Silvie X Art,Silvie-de-Lux,Simona Femjoy,Simona Joymii,Sylvia Deluxe,Sylvia Nubiles,Sylvie Deluxe",,,,"While there are many beautiful women in the world, there are very few who look like they belong in a royal family. Silvie Deluxe Is one of those women. Not only is she beautiful, but she also has a knockout body. The moment she takes off her top and reveals her full C-cup breast, it’s like a ray of sunshine on a cloudy day. She only weighs 114 lb, and her measurements are 34C-25-35, and that shows that you take great care of yourself. She has luscious brown hair and vibrant green eyes, and she stands at 5 ft 9 in tall. Silvie Deluxe comes to us all the way from the Czech Republic, and she was born on December 17th, 1988. This means that her hot body is definitely a gift to the porn world. Silvie started working as a pornstar in 2009, and she has made over 50 films."
416,Amilia Onyx,https://www.eporner.com/pornstar/amilia-onyx/,21,63,419,666408,7068317,158,USA,23,Hazel,Red,"165 cm / 5'5""", 65 kg / 143 lbs,36D,36D-24-36,,,,,
